time (s) 	ai1 (K)	ai2 (K)	ai3 (K)	ai4 (K)	ai5 (K)	ai6 (K)	ai7 (K)	ai8 (K)	ai9 (K)
0	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.0293871	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.061051	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.0927314	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.126692	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.160671	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.196933	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.233214	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.271782	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.31037	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.351249	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.39442	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15	1233.15
0.437614	1233.15	1233.149100036	1233.15	1233.149099751	1233.15	1233.149099467	1233.15	1233.149099751	1233.15
0.483104	1233.15	1233.147000059	1233.15	1233.146999112	1233.146999112	1233.146999112	1233.15	1233.147000059	1233.147000059
0.530893	1233.15	1233.147000059	1233.15	1233.146999112	1233.146999112	1233.144898757	1233.15	1233.14489942	1233.147000059
0.580984	1233.15	1233.144900083	1233.15	1233.14489942	1233.146999112	1233.143998224	1233.146999112	1233.143999171	1233.147000059
0.633379	1233.15	1233.144000118	1233.147000059	1233.143999171	1233.146999112	1233.143998224	1233.146999112	1233.143999171	1233.147000059
0.68808	1233.15	1233.141000178	1233.147000059	1233.140998284	1233.143998224	1233.140997336	1233.146999112	1233.140999231	1233.144000118
0.74509	1233.15	1233.141000178	1233.147000059	1233.140998284	1233.143998224	1233.137996449	1233.143998224	1233.135898651	1233.144000118
0.804411	1233.15	1233.13590026	1233.147000059	1233.135897703	1233.140997336	1233.134995561	1233.143998224	1233.134998402	1233.141000178
0.866045	1233.15	1233.127100272	1233.144000118	1233.127097147	1233.137996449	1233.124995561	1233.140997336	1233.124098153	1233.138000237
0.929983	1233.15	1233.122000355	1233.144000118	1233.121996567	1233.134995561	1233.118993785	1233.140997336	1233.118997573	1233.135000296
0.996226	1233.15	1233.116000474	1233.141000178	1233.118095431	1233.124995561	1233.110891654	1233.137996449	1233.110897052	1233.125000296
1.06477	1233.15	1233.110000592	1233.141000178	1233.109993963	1233.118993785	1233.103989346	1233.127996449	1233.103995975	1233.119000414
1.13563	1233.15	1233.096100687	1233.138000237	1233.096092826	1233.115992897	1233.090087925	1233.124995561	1233.090095786	1233.113000533
1.20877	1233.15	1233.085000888	1233.128000237	1233.087991358	1233.109991122	1233.078984907	1233.118993785	1233.076894685	1233.107000651
1.28649	1233.15	1233.069001006	1233.125000296	1233.068989642	1233.093989346	1233.059982243	1233.115992897	1233.059993608	1233.09400071
1.36649	1233.15	1233.054901267	1233.122000355	1233.054887345	1233.084986682	1233.037978692	1233.102992009	1233.03799195	1233.085000888
1.44878	1233.15	1233.03500148	1233.116000474	1233.03498538	1233.068984907	1233.015975141	1233.096990234	1233.015090992	1233.069001006
1.53564	1233.15	1233.013001717	1233.106000474	1233.012982776	1233.049982243	1232.988870346	1233.08798757	1232.987988754	1233.050001184
1.62478	1233.15	1232.981001954	1233.100000592	1232.980980172	1233.03097958	1232.955065729	1233.071985795	1232.955087795	1233.031001362
1.71621	1233.15	1232.953002309	1233.09400071	1232.952976739	1233.011976916	1232.922859692	1233.055984019	1232.919885037	1233.009001598
1.81221	1233.15	1232.915002664	1233.078000829	1232.917072998	1232.986972477	1232.8830533	1233.036981355	1232.873983191	1232.987001835
1.9105	1233.15	1232.874003078	1233.065000888	1232.876969873	1232.961968038	1232.832047085	1233.017978692	1232.829980823	1232.962002131
